restaurant_id,restaurant_name,cuisine,city,rating
301,Restaurant_301,Indian,Hyderabad,4.2
302,Restaurant_302,Indian,Pune,4.2
303,Restaurant_303,Indian,Bengaluru,4.2
304,Restaurant_304,Indian,Mumbai,4.2
305,Restaurant_305,Indian,Hyderabad,4.2
306,Restaurant_306,Indian,Bengaluru,4.2
307,Restaurant_307,Indian,Delhi,4.2
308,Restaurant_308,Indian,Pune,4.2
309,Restaurant_309,Indian,Mumbai,4.2
310,Restaurant_310,Indian,Mumbai,4.2
311,Restaurant_311,Indian,Pune,4.2
312,Restaurant_312,Indian,Bengaluru,4.2
313,Restaurant_313,Indian,Mumbai,4.2
314,Restaurant_314,Indian,Mumbai,4.2
315,Restaurant_315,Indian,Hyderabad,4.2
316,Restaurant_316,Indian,Delhi,4.2
317,Restaurant_317,Indian,Delhi,4.2
318,Restaurant_318,Indian,Bengaluru,4.2
319,Restaurant_319,Indian,Mumbai,4.2
320,Restaurant_320,Indian,Pune,4.2
321,Restaurant_321,Indian,Hyderabad,4.2
322,Restaurant_322,Indian,Pune,4.2
323,Restaurant_323,Indian,Pune,4.2
324,Restaurant_324,Indian,Pune,4.2
325,Restaurant_325,Indian,Bengaluru,4.2
326,Restaurant_326,Indian,Pune,4.2
327,Restaurant_327,Indian,Hyderabad,4.2
328,Restaurant_328,Indian,Pune,4.2
329,Restaurant_329,Indian,Bengaluru,4.2
330,Restaurant_330,Indian,Delhi,4.2
