partner_id,partner_name,vehicle_type,city,availability
301,Partner_301,Bike,Bengaluru,Available
302,Partner_302,Bike,Pune,Available
303,Partner_303,Bike,Bengaluru,Available
304,Partner_304,Bike,Mumbai,Available
305,Partner_305,Bike,Mumbai,Available
306,Partner_306,Bike,Mumbai,Available
307,Partner_307,Bike,Pune,Available
308,Partner_308,Bike,Mumbai,Available
309,Partner_309,Bike,Pune,Available
310,Partner_310,Bike,Delhi,Available
311,Partner_311,Bike,Delhi,Available
312,Partner_312,Bike,Mumbai,Available
313,Partner_313,Bike,Bengaluru,Available
314,Partner_314,Bike,Bengaluru,Available
315,Partner_315,Bike,Pune,Available
316,Partner_316,Bike,Mumbai,Available
317,Partner_317,Bike,Delhi,Available
318,Partner_318,Bike,Hyderabad,Available
319,Partner_319,Bike,Delhi,Available
320,Partner_320,Bike,Pune,Available
321,Partner_321,Bike,Hyderabad,Available
322,Partner_322,Bike,Delhi,Available
323,Partner_323,Bike,Bengaluru,Available
324,Partner_324,Bike,Pune,Available
325,Partner_325,Bike,Delhi,Available
326,Partner_326,Bike,Delhi,Available
327,Partner_327,Bike,Mumbai,Available
328,Partner_328,Bike,Delhi,Available
329,Partner_329,Bike,Bengaluru,Available
330,Partner_330,Bike,Mumbai,Available
