customer_id,customer_name,city,membership
501,Customer_501,Hyderabad,Silver
502,Customer_502,Mumbai,Silver
503,Customer_503,Mumbai,Silver
504,Customer_504,Hyderabad,Silver
505,Customer_505,Bengaluru,Silver
506,Customer_506,Pune,Silver
507,Customer_507,Mumbai,Silver
508,Customer_508,Hyderabad,Silver
509,Customer_509,Mumbai,Silver
510,Customer_510,Pune,Silver
511,Customer_511,Mumbai,Silver
512,Customer_512,Bengaluru,Silver
513,Customer_513,Delhi,Silver
514,Customer_514,Pune,Silver
515,Customer_515,Delhi,Silver
516,Customer_516,Bengaluru,Silver
517,Customer_517,Bengaluru,Silver
518,Customer_518,Bengaluru,Silver
519,Customer_519,Hyderabad,Silver
520,Customer_520,Bengaluru,Silver
521,Customer_521,Bengaluru,Silver
522,Customer_522,Hyderabad,Silver
523,Customer_523,Delhi,Silver
524,Customer_524,Mumbai,Silver
525,Customer_525,Delhi,Silver
526,Customer_526,Delhi,Silver
527,Customer_527,Mumbai,Silver
528,Customer_528,Bengaluru,Silver
529,Customer_529,Hyderabad,Silver
530,Customer_530,Bengaluru,Silver
531,Customer_531,Delhi,Silver
532,Customer_532,Bengaluru,Silver
533,Customer_533,Delhi,Silver
534,Customer_534,Mumbai,Silver
535,Customer_535,Delhi,Silver
536,Customer_536,Pune,Silver
537,Customer_537,Delhi,Silver
538,Customer_538,Mumbai,Silver
539,Customer_539,Pune,Silver
540,Customer_540,Pune,Silver
541,Customer_541,Pune,Silver
542,Customer_542,Hyderabad,Silver
543,Customer_543,Bengaluru,Silver
544,Customer_544,Mumbai,Silver
545,Customer_545,Pune,Silver
546,Customer_546,Bengaluru,Silver
547,Customer_547,Pune,Silver
548,Customer_548,Delhi,Silver
549,Customer_549,Delhi,Silver
550,Customer_550,Hyderabad,Silver
