customer_id,customer_name,city,membership
1,Customer_1,Pune,Platinum
2,Customer_2,Mumbai,Gold
3,Customer_3,Mumbai,Gold
4,Customer_4,Bengaluru,Gold
5,Customer_5,Bengaluru,Silver
6,Customer_6,Mumbai,Gold
7,Customer_7,Mumbai,Gold
8,Customer_8,Bengaluru,Platinum
9,Customer_9,Mumbai,Platinum
10,Customer_10,Bengaluru,Gold
11,Customer_11,Pune,Platinum
12,Customer_12,Mumbai,Gold
13,Customer_13,Mumbai,Silver
14,Customer_14,Mumbai,Platinum
15,Customer_15,Hyderabad,Silver
16,Customer_16,Bengaluru,Platinum
17,Customer_17,Pune,Gold
18,Customer_18,Mumbai,Platinum
19,Customer_19,Pune,Gold
20,Customer_20,Bengaluru,Platinum
21,Customer_21,Pune,Gold
22,Customer_22,Pune,Platinum
23,Customer_23,Pune,Gold
24,Customer_24,Delhi,Silver
25,Customer_25,Bengaluru,Platinum
26,Customer_26,Mumbai,Silver
27,Customer_27,Delhi,Silver
28,Customer_28,Delhi,Platinum
29,Customer_29,Hyderabad,Gold
30,Customer_30,Hyderabad,Platinum
31,Customer_31,Pune,Gold
32,Customer_32,Delhi,Platinum
33,Customer_33,Bengaluru,Platinum
34,Customer_34,Bengaluru,Platinum
35,Customer_35,Mumbai,Gold
36,Customer_36,Pune,Platinum
37,Customer_37,Bengaluru,Gold
38,Customer_38,Pune,Gold
39,Customer_39,Hyderabad,Platinum
40,Customer_40,Delhi,Silver
41,Customer_41,Bengaluru,Platinum
42,Customer_42,Hyderabad,Silver
43,Customer_43,Pune,Platinum
44,Customer_44,Bengaluru,Gold
45,Customer_45,Bengaluru,Platinum
46,Customer_46,Mumbai,Gold
47,Customer_47,Mumbai,Gold
48,Customer_48,Hyderabad,Platinum
49,Customer_49,Hyderabad,Gold
50,Customer_50,Pune,Silver
51,Customer_51,Hyderabad,Silver
52,Customer_52,Mumbai,Silver
53,Customer_53,Hyderabad,Platinum
54,Customer_54,Pune,Gold
55,Customer_55,Hyderabad,Gold
56,Customer_56,Hyderabad,Gold
57,Customer_57,Bengaluru,Gold
58,Customer_58,Hyderabad,Platinum
59,Customer_59,Mumbai,Gold
60,Customer_60,Hyderabad,Silver
61,Customer_61,Hyderabad,Platinum
62,Customer_62,Pune,Gold
63,Customer_63,Mumbai,Gold
64,Customer_64,Delhi,Platinum
65,Customer_65,Hyderabad,Silver
66,Customer_66,Hyderabad,Gold
67,Customer_67,Bengaluru,Gold
68,Customer_68,Bengaluru,Gold
69,Customer_69,Mumbai,Platinum
70,Customer_70,Hyderabad,Platinum
71,Customer_71,Hyderabad,Gold
72,Customer_72,Bengaluru,Platinum
73,Customer_73,Mumbai,Silver
74,Customer_74,Pune,Platinum
75,Customer_75,Hyderabad,Silver
76,Customer_76,Mumbai,Platinum
77,Customer_77,Delhi,Silver
78,Customer_78,Mumbai,Silver
79,Customer_79,Mumbai,Gold
80,Customer_80,Mumbai,Gold
81,Customer_81,Pune,Gold
82,Customer_82,Mumbai,Platinum
83,Customer_83,Pune,Gold
84,Customer_84,Delhi,Silver
85,Customer_85,Pune,Silver
86,Customer_86,Delhi,Platinum
87,Customer_87,Pune,Platinum
88,Customer_88,Delhi,Platinum
89,Customer_89,Delhi,Gold
90,Customer_90,Delhi,Gold
91,Customer_91,Bengaluru,Silver
92,Customer_92,Mumbai,Gold
93,Customer_93,Bengaluru,Gold
94,Customer_94,Bengaluru,Silver
95,Customer_95,Delhi,Silver
96,Customer_96,Delhi,Platinum
97,Customer_97,Hyderabad,Silver
98,Customer_98,Hyderabad,Gold
99,Customer_99,Mumbai,Silver
100,Customer_100,Mumbai,Gold
101,Customer_101,Pune,Silver
102,Customer_102,Pune,Gold
103,Customer_103,Hyderabad,Platinum
104,Customer_104,Bengaluru,Platinum
105,Customer_105,Pune,Platinum
106,Customer_106,Hyderabad,Gold
107,Customer_107,Pune,Platinum
108,Customer_108,Mumbai,Gold
109,Customer_109,Hyderabad,Gold
110,Customer_110,Bengaluru,Silver
111,Customer_111,Delhi,Silver
112,Customer_112,Pune,Silver
113,Customer_113,Delhi,Silver
114,Customer_114,Mumbai,Gold
115,Customer_115,Delhi,Platinum
116,Customer_116,Pune,Gold
117,Customer_117,Hyderabad,Gold
118,Customer_118,Pune,Silver
119,Customer_119,Hyderabad,Silver
