restaurant_id,restaurant_name,cuisine,city,rating
1,Restaurant_1,Chinese,Mumbai,4.0
2,Restaurant_2,Chinese,Mumbai,4.6
3,Restaurant_3,Chinese,Pune,3.9
4,Restaurant_4,Chinese,Mumbai,4.8
5,Restaurant_5,Chinese,Mumbai,4.1
6,Restaurant_6,Indian,Hyderabad,4.3
7,Restaurant_7,Chinese,Delhi,4.3
8,Restaurant_8,Chinese,Hyderabad,4.2
9,Restaurant_9,Indian,Bengaluru,4.3
10,Restaurant_10,Italian,Hyderabad,4.6
11,Restaurant_11,Italian,Mumbai,4.8
12,Restaurant_12,Chinese,Pune,3.8
13,Restaurant_13,Chinese,Hyderabad,4.0
14,Restaurant_14,Chinese,Delhi,3.7
15,Restaurant_15,Indian,Mumbai,4.0
16,Restaurant_16,Italian,Hyderabad,4.0
17,Restaurant_17,Chinese,Delhi,4.0
18,Restaurant_18,Chinese,Hyderabad,4.3
19,Restaurant_19,Italian,Mumbai,3.7
20,Restaurant_20,Italian,Delhi,4.7
21,Restaurant_21,Italian,Mumbai,4.2
22,Restaurant_22,Chinese,Bengaluru,4.2
23,Restaurant_23,Chinese,Bengaluru,4.7
24,Restaurant_24,Indian,Hyderabad,4.7
25,Restaurant_25,Indian,Mumbai,4.3
26,Restaurant_26,Italian,Delhi,4.7
27,Restaurant_27,Italian,Hyderabad,4.6
28,Restaurant_28,Chinese,Delhi,4.1
29,Restaurant_29,Chinese,Hyderabad,5.0
30,Restaurant_30,Italian,Hyderabad,3.8
31,Restaurant_31,Indian,Delhi,4.5
32,Restaurant_32,Italian,Pune,4.9
33,Restaurant_33,Indian,Bengaluru,4.9
34,Restaurant_34,Italian,Mumbai,4.7
35,Restaurant_35,Italian,Delhi,4.6
36,Restaurant_36,Indian,Delhi,3.6
37,Restaurant_37,Italian,Hyderabad,4.5
38,Restaurant_38,Indian,Pune,4.5
39,Restaurant_39,Indian,Hyderabad,4.8
40,Restaurant_40,Indian,Hyderabad,4.1
41,Restaurant_41,Chinese,Delhi,3.8
42,Restaurant_42,Indian,Hyderabad,4.2
43,Restaurant_43,Indian,Bengaluru,4.2
44,Restaurant_44,Chinese,Hyderabad,4.9
45,Restaurant_45,Indian,Bengaluru,4.6
46,Restaurant_46,Chinese,Bengaluru,3.8
47,Restaurant_47,Italian,Hyderabad,4.7
48,Restaurant_48,Italian,Bengaluru,3.6
49,Restaurant_49,Italian,Hyderabad,4.7
50,Restaurant_50,Italian,Bengaluru,3.6
51,Restaurant_51,Chinese,Mumbai,3.8
52,Restaurant_52,Chinese,Mumbai,4.3
53,Restaurant_53,Chinese,Hyderabad,4.8
54,Restaurant_54,Italian,Delhi,5.0
55,Restaurant_55,Italian,Hyderabad,5.0
56,Restaurant_56,Chinese,Hyderabad,4.1
